ProjectA,v.0,,,,,,,,,,
MIF,,,,,,,,,,,
LEVEL,SPEED,ASV0,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8
0,4205.5,993.75,956.25,918.75,881.25,843.75,806.25,768.75,731.25,693.75
1,3737.5,918.75,887.5,862.5,825,800,775,737.5,712.5,687.5
2,3172,825,800,781.25,762.5,743.75,718.75,700,681.25,656.25
3,2730,768.75,750,737.5,718.75,706.25,687.5,675,656.25,643.75
4,2288,743.75,731.25,718.85,700,687.5,668.75,656.25,643.75,625
5,2028,750,731.25,718.75,700,681.25,668.75,650,631.25,618.75
6,1715.5,756.25,737.5,718.75,700,681.25,662.5,643.75,625,606.25
7,1539,756.25,737.5,718.75,693.75,675,656.25,631.25,612.5,593.75
8,1352,750,725,706.25,687.5,662.5,643.75,625,600,581.25
9,1014,687.5,675,656.25,637.5,618.75,600,581.25,568.75,550
10,845,637.5,625,612.5,600,581.25,568.75,556.25,543.75,531.25
11,676,581.25,575,562.5,556.25,543.75,537.5,525,518.75,506.25
12,421,525,518.75,518.75,512.5,506.25,500,500,493.75,487.5
13,50,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
INT,,,,,,,,,,,
LEVEL,SPEED,0,1,2,3,4,5,6,7,8
0,800,887.5,875,850,825,800,787.5,762.5,737.5,712.5
1,663,793.75,775,762.5,750,737.5,718.75,706.25,693.75,675
2,533,718.75,706.25,693.75,687.5,675,662.5,656.25,643.75,637.5
3,400,662.5,656.25,643.75,631.25,625,612.5,606.25,593.75,581.25
4,332,650,637.5,631.25,618.75,606.25,600,587.5,575,568.75
5,267,625,612.5,606.25,593.75,587.5,575,568.75,556.25,550
6,200,606.25,593.75,587.5,581.25,575,562.5,556.25,550,543.75
7,133,593.75,581.25,575,568.75,562.5,556.25,550,543.75,537.5
8,50,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CSIS,,,,,,,,,,,
LEVEL,SPEED,0,1,2,3,4,5,6,7,8
0,800,887.5,875,850,825,800,787.5,762.5,737.5,712.5
1,663,793.75,775,762.5,750,737.5,718.75,706.25,693.75,675
2,533,718.75,706.25,693.75,687.5,675,662.5,656.25,643.75,637.5
3,400,662.5,656.25,643.75,631.25,625,612.5,606.25,593.75,581.25
4,332,650,637.5,631.25,618.75,606.25,600,587.5,575,568.75
5,267,625,612.5,606.25,593.75,587.5,575,568.75,556.25,550
6,200,606.25,593.75,587.5,581.25,575,562.5,556.25,550,543.75
7,133,593.75,581.25,575,568.75,562.5,556.25,550,543.75,537.5
8,50,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CAM,,,,,,,,,,,
LEVEL,SPEED,0,1,2,3,4,5,6,7,8
0,800,887.5,875,850,825,800,787.5,762.5,737.5,712.5
1,663,793.75,775,762.5,750,737.5,718.75,706.25,693.75,675
2,533,718.75,706.25,693.75,687.5,675,662.5,656.25,643.75,637.5
3,400,662.5,656.25,643.75,631.25,625,612.5,606.25,593.75,581.25
