Project,A,,,,,,
Name,Mode,Unit Power,IDC,PPC,VDD,DVFS
CSIS,Normal,0.21,0,8,VDD_CAM,CSIS
CSIS_LINK,Normal,0.1,0,8,VDD_CAM,CSIS
PDP,Normal,0.17,0,8,VDD_CAM,CSIS
PREP,Normal,1.17,0,8,VDD_CAM,CSIS
CSTAT,Normal,2.17,0,8,VDD_CAM,CSIS
BYRP,Normal,4.34,0,4,VDD_CAM,CAM
BYRP,tDMSC,4.36,0,4,VDD_CAM,CAM
RGBP,Normal,3.728,0,4,VDD_CAM,CAM
RGBP,tDMSC,4.72,0,4,VDD_CAM,CAM
YUVP,Normal,0.352,0,4,VDD_CAM,CAM
YUVP,FHD,0.403,0,4,VDD_CAM,CAM
YUVP,8K,0.331,0,4,VDD_CAM,CAM
MLSC,Normal,2.833,0,4,VDD_CAM,CAM
MCSC,Normal,1.5,0,4,VDD_CAM,CAM
MTNR0,Normal,1.0,0,4,VDD_INTCAM,INTCAM
MTNR1,Normal,1.0,0,4,VDD_INTCAM,INTCAM
MSNR,Normal,1.0,0,4,VDD_INTCAM,INTCAM
MFC,Normal,1.0,0,4,VDD_INT,INT
DPU,Normal,1.0,0,4,VDD_INT,INT
CPU_Cluster,Normal,1.0,0,4,VDD_CPUCL0,CPU
DRAM,Normal,1.0,0,4,VDD_MIF,MIF
